"","time","Target.x","Target.y","Target.z"
"1",3141,1,1,1
"2",3142,1,1,1
"3",3143,1,1,1
"4",3144,1,1,1
"5",3145,1,1,1
"6",3146,1,1,1
"7",3147,1,1,1
"8",3148,1,1,1
"9",3149,1,1,1
"10",3150,1,1,1
"11",3151,1,1,1
"12",3152,1,1,1
"13",3153,1,1,1
"14",3154,1,1,1
"15",3155,1,1,1
"16",3156,1,1,1
"17",3157,1,1,1
"18",3158,1,1,1
"19",3159,1,1,1
"20",3160,1,1,1
"21",3161,1,1,1
"22",3162,1,1,1
"23",3163,1,1,1
"24",3164,1,1,1
"25",3165,1,1,1
"26",3166,1,1,1
"27",3167,1,1,1
"28",3168,1,1,1
"29",3169,1,1,1
"30",3170,1,1,1
"31",3171,1,1,1
"32",3172,1,1,1
"33",3173,1,1,1
"34",3174,1,1,1
"35",3175,1,1,1
"36",3176,1,1,1
"37",3177,1,1,1
"38",3178,1,1,1
"39",3179,1,1,1
"40",3180,1,1,1
"41",3181,1,1,1
"42",3182,1,1,1
"43",3183,1,1,1
"44",3184,1,1,1
"45",3185,1,1,1
"46",3186,1,1,1
"47",3187,1,1,1
"48",3188,1,1,1
"49",3189,1,1,1
"50",3190,1,1,1
"51",3191,1,1,1
"52",3192,1,1,1
"53",3193,1,1,1
"54",3194,1,1,1
"55",3195,1,1,1
"56",3196,1,1,1
"57",3197,1,1,1
"58",3198,1,1,1
"59",3199,1,1,1
"60",3200,1,1,1
"61",3201,1,1,1
"62",3202,1,1,1
"63",3203,1,1,1
"64",3204,1,1,1
"65",3205,1,1,1
"66",3206,1,1,1
"67",3207,1,1,1
"68",3208,1,1,1
"69",3209,1,1,1
"70",3210,1,1,1
"71",3211,1,1,1
"72",3212,1,1,1
"73",3213,1,1,1
"74",3214,1,1,1
"75",3215,1,1,1
"76",3216,1,1,1
"77",3217,1,1,1
"78",3218,1,1,1
"79",3219,1,1,1
"80",3220,1,1,1
"81",3221,1,1,1
"82",3222,1,1,1
"83",3223,1,1,2
"84",3224,1,1,2
"85",3225,1,1,2
"86",3226,1,1,2
"87",3227,1,1,2
"88",3228,1,1,2
"89",3229,1,1,2
"90",3230,1,1,2
"91",3231,1,1,2
"92",3232,1,1,2
"93",3233,1,1,2
"94",3234,1,1,2
"95",3235,1,1,2
"96",3236,1,1,2
"97",3237,1,1,2
"98",3238,1,1,2
"99",3239,1,1,2
"100",3240,1,2,2
"101",3241,2,2,2
"102",3242,2,2,2
"103",3243,2,2,2
"104",3244,2,2,2
"105",3245,2,2,2
"106",3246,2,2,2
"107",3247,2,2,2
"108",3248,2,2,2
"109",3249,2,2,2
"110",3250,2,2,2
"111",3251,2,2,2
"112",3252,2,2,2
"113",3253,2,2,2
"114",3254,2,2,2
"115",3255,2,2,2
"116",3256,2,2,2
"117",3257,2,2,2
"118",3258,2,2,2
"119",3259,2,2,2
"120",3260,2,1,2
"121",3261,2,1,2
"122",3262,2,1,2
"123",3263,2,1,2
"124",3264,2,1,2
"125",3265,2,1,2
"126",3266,2,1,2
"127",3267,2,1,2
"128",3268,2,1,2
"129",3269,2,1,2
"130",3270,2,1,2
"131",3271,1,1,2
"132",3272,1,1,2
"133",3273,1,1,2
"134",3274,1,1,2
"135",3275,1,1,2
"136",3276,1,1,2
"137",3277,1,1,2
"138",3278,1,1,2
"139",3279,1,1,2
"140",3280,1,1,2
"141",3281,1,1,2
"142",3282,1,1,2
"143",3283,1,1,2
"144",3284,1,1,2
"145",3285,1,1,2
"146",3286,1,1,2
"147",3287,1,1,2
"148",3288,1,1,2
"149",3289,1,1,2
"150",3290,1,1,2
"151",3291,1,1,2
"152",3292,1,1,2
"153",3293,1,1,2
"154",3294,1,1,2
"155",3295,1,1,2
"156",3296,1,1,2
"157",3297,1,1,2
"158",3298,1,1,2
"159",3299,1,1,2
"160",3300,1,1,2
"161",3301,1,1,2
"162",3302,1,1,2
"163",3303,1,1,2
"164",3304,1,1,2
"165",3305,1,1,2
"166",3306,1,1,2
"167",3307,1,1,2
"168",3308,1,1,2
"169",3309,1,1,2
"170",3310,1,1,2
"171",3311,1,1,2
"172",3312,1,1,2
"173",3313,1,1,1
"174",3314,1,1,1
"175",3315,1,1,1
"176",3316,1,1,1
"177",3317,1,1,1
"178",3318,1,1,1
"179",3319,1,1,1
"180",3320,1,1,1
"181",3321,1,1,1
"182",3322,1,1,1
"183",3323,1,1,3
"184",3324,1,1,3
"185",3325,1,1,3
"186",3326,7,1,3
"187",3327,7,1,3
"188",3328,7,1,2
"189",3329,7,1,2
"190",3330,7,1,2
"191",3331,7,1,2
"192",3332,7,1,2
"193",3333,7,1,2
"194",3334,7,1,2
"195",3335,7,1,2
"196",3336,1,1,2
"197",3337,1,1,2
"198",3338,1,1,2
"199",3339,1,1,2
"200",3340,1,7,19
"201",3341,1,7,19
"202",3342,1,7,19
"203",3343,1,7,19
"204",3344,1,7,19
"205",3345,1,7,19
"206",3346,1,7,3
"207",3347,1,7,3
"208",3348,1,7,3
"209",3349,1,7,3
"210",3350,1,7,3
"211",3351,1,7,2
"212",3352,1,7,2
"213",3353,1,7,2
"214",3354,1,7,2
"215",3355,1,7,2
"216",3356,1,7,2
"217",3357,1,1,2
"218",3358,1,1,2
"219",3359,1,1,2
"220",3360,1,1,2
"221",3361,1,1,2
"222",3362,1,1,2
"223",3363,1,1,2
"224",3364,1,1,2
"225",3365,1,1,2
"226",3366,1,1,2
"227",3367,1,1,2
"228",3368,1,1,2
"229",3369,1,1,2
"230",3370,1,1,2
"231",3371,1,1,2
"232",3372,2,1,2
"233",3373,2,1,2
"234",3374,2,1,2
"235",3375,2,1,2
"236",3376,2,1,2
"237",3377,2,1,2
"238",3378,2,1,2
"239",3379,2,1,2
"240",3380,2,1,2
"241",3381,2,1,2
"242",3382,2,1,2
"243",3383,2,1,2
"244",3384,2,1,2
"245",3385,2,1,2
"246",3386,2,1,2
"247",3387,2,1,2
"248",3388,2,1,2
"249",3389,2,1,2
"250",3390,2,1,2
"251",3391,2,1,2
"252",3392,2,1,2
"253",3393,2,1,2
"254",3394,2,1,2
"255",3395,2,1,2
"256",3396,2,2,2
"257",3397,2,2,2
"258",3398,2,2,2
"259",3399,2,2,2
"260",3400,2,2,2
"261",3401,2,2,2
"262",3402,2,2,2
"263",3403,2,2,2
"264",3404,2,2,2
"265",3405,2,2,2
"266",3406,2,2,2
"267",3407,2,2,2
"268",3408,2,2,2
"269",3409,2,2,2
"270",3410,2,1,2
"271",3411,2,1,2
"272",3412,2,1,2
"273",3413,2,1,2
"274",3414,2,1,2
"275",3415,2,1,2
"276",3416,2,1,2
"277",3417,2,1,2
"278",3418,2,1,2
"279",3419,2,1,2
"280",3420,2,1,2
"281",3421,2,1,2
"282",3422,2,1,2
"283",3423,2,1,2
"284",3424,2,1,2
"285",3425,2,1,2
"286",3426,2,1,2
"287",3427,2,1,2
"288",3428,2,1,2
"289",3429,2,1,2
"290",3430,2,1,2
"291",3431,2,1,2
"292",3432,2,1,2
"293",3433,2,1,2
"294",3434,2,1,2
"295",3435,2,1,2
"296",3436,2,1,2
"297",3437,2,1,2
"298",3438,2,1,2
"299",3439,2,1,2
"300",3440,2,1,2
"301",3441,2,1,2
"302",3442,2,1,2
"303",3443,2,1,2
"304",3444,2,1,2
"305",3445,2,1,1
"306",3446,2,1,1
"307",3447,2,1,1
"308",3448,2,1,1
"309",3449,2,1,1
"310",3450,2,1,1
"311",3451,2,1,1
"312",3452,2,1,1
"313",3453,2,1,3
"314",3454,2,1,3
"315",3455,2,1,3
"316",3456,2,1,3
"317",3457,2,1,3
