"","time","Target.x","Target.y","Target.z"
"1",7459,1,1,19
"2",7460,1,1,19
"3",7461,1,1,19
"4",7462,1,1,19
"5",7463,1,1,19
"6",7464,1,1,19
"7",7465,1,1,19
"8",7466,1,1,19
"9",7467,1,1,19
"10",7468,1,1,19
"11",7469,1,1,19
"12",7470,1,1,19
"13",7471,13,1,19
"14",7472,13,1,19
"15",7473,13,1,19
"16",7474,13,1,19
"17",7475,13,1,19
"18",7476,13,1,19
"19",7477,13,1,19
"20",7478,13,1,19
"21",7479,13,1,19
"22",7480,13,1,19
"23",7481,13,1,19
"24",7482,13,1,19
"25",7483,13,1,19
"26",7484,1,1,19
"27",7485,1,1,19
"28",7486,1,1,19
"29",7487,1,1,19
"30",7488,1,1,19
"31",7489,1,1,19
"32",7490,1,1,19
"33",7491,1,1,19
"34",7492,1,1,19
"35",7493,1,1,19
"36",7494,1,1,19
"37",7495,1,1,19
"38",7496,1,1,19
"39",7497,1,1,19
"40",7498,1,1,19
"41",7499,1,1,19
"42",7500,1,1,19
"43",7501,1,1,19
"44",7502,1,1,19
"45",7503,1,1,19
"46",7504,1,1,19
"47",7505,1,1,19
"48",7506,1,1,19
"49",7507,1,1,19
"50",7508,1,1,19
"51",7509,1,1,19
"52",7510,1,1,19
"53",7511,1,1,19
"54",7512,1,1,19
"55",7513,1,1,19
"56",7514,1,1,19
"57",7515,1,1,19
"58",7516,1,1,19
"59",7517,1,1,19
"60",7518,1,1,19
"61",7519,1,1,19
"62",7520,1,1,19
"63",7521,1,1,19
"64",7522,1,1,19
"65",7523,1,1,19
"66",7524,1,1,92
"67",7525,1,1,92
"68",7526,1,1,92
"69",7527,1,1,92
"70",7528,1,1,92
"71",7529,1,1,92
"72",7530,1,1,92
"73",7531,1,1,92
"74",7532,1,1,92
"75",7533,1,1,92
"76",7534,1,1,92
"77",7535,1,1,92
"78",7536,1,1,92
"79",7537,1,1,92
"80",7538,1,1,92
"81",7539,1,1,92
"82",7540,1,1,92
"83",7541,1,1,92
"84",7542,1,1,92
"85",7543,1,1,92
"86",7544,1,1,92
"87",7545,1,1,92
"88",7546,1,1,92
"89",7547,1,1,92
"90",7548,1,1,92
"91",7549,1,1,92
"92",7550,1,1,92
"93",7551,1,1,92
"94",7552,1,1,92
"95",7553,1,1,92
"96",7554,1,1,92
"97",7555,1,1,92
"98",7556,1,1,92
"99",7557,1,1,92
"100",7558,1,1,92
"101",7559,1,1,1
"102",7560,1,1,1
"103",7561,1,1,1
"104",7562,1,1,19
"105",7563,1,1,19
"106",7564,1,1,19
"107",7565,1,1,19
"108",7566,1,1,19
"109",7567,1,1,19
"110",7568,1,1,19
"111",7569,1,1,19
"112",7570,1,1,19
"113",7571,1,1,19
"114",7572,1,1,19
"115",7573,1,1,19
"116",7574,1,1,19
"117",7575,1,1,19
"118",7576,1,1,19
"119",7577,1,1,19
"120",7578,1,1,19
"121",7579,1,1,19
"122",7580,1,1,19
"123",7581,1,1,19
"124",7582,1,1,19
"125",7583,1,1,19
"126",7584,1,3,1
"127",7585,1,3,1
"128",7586,1,3,1
"129",7587,1,3,1
"130",7588,1,3,1
"131",7589,1,3,1
"132",7590,1,3,1
"133",7591,1,3,1
"134",7592,1,3,1
"135",7593,1,3,1
"136",7594,1,3,1
"137",7595,1,3,1
"138",7596,1,3,1
"139",7597,1,3,1
"140",7598,1,3,1
"141",7599,1,3,19
"142",7600,1,3,19
"143",7601,1,11,19
"144",7602,1,11,19
"145",7603,1,11,19
"146",7604,1,11,19
"147",7605,1,11,19
"148",7606,1,11,19
"149",7607,1,11,19
"150",7608,1,11,19
"151",7609,1,11,19
"152",7610,1,11,19
"153",7611,1,11,19
"154",7612,1,11,19
"155",7613,1,11,19
"156",7614,1,11,1
"157",7615,1,11,1
"158",7616,1,11,1
"159",7617,1,11,1
"160",7618,1,11,1
"161",7619,1,11,1
"162",7620,1,11,1
"163",7621,1,11,1
"164",7622,1,11,1
"165",7623,1,11,1
"166",7624,1,11,1
"167",7625,1,11,1
"168",7626,1,11,1
"169",7627,1,11,1
"170",7628,1,11,1
"171",7629,1,11,1
"172",7630,1,11,1
"173",7631,1,11,1
"174",7632,1,11,1
"175",7633,1,11,1
"176",7634,1,11,1
"177",7635,1,11,1
"178",7636,1,11,1
"179",7637,1,11,1
"180",7638,1,11,1
"181",7639,1,11,1
"182",7640,1,11,1
"183",7641,1,11,1
"184",7642,1,11,1
"185",7643,1,11,1
"186",7644,1,11,3
"187",7645,1,11,3
"188",7646,1,11,3
"189",7647,1,11,3
"190",7648,1,11,1
"191",7649,1,11,1
"192",7650,1,11,1
"193",7651,1,11,1
"194",7652,1,11,1
"195",7653,1,11,1
"196",7654,1,11,1
"197",7655,1,11,1
"198",7656,1,11,1
"199",7657,1,11,1
"200",7658,1,11,1
"201",7659,1,11,1
"202",7660,1,11,1
"203",7661,1,11,1
"204",7662,1,11,1
"205",7663,1,11,1
"206",7664,1,11,1
"207",7665,1,11,1
"208",7666,1,11,1
"209",7667,1,11,1
"210",7668,1,11,1
"211",7669,1,11,1
"212",7670,1,11,1
"213",7671,1,11,1
"214",7672,1,11,1
"215",7673,1,11,19
"216",7674,1,11,19
"217",7675,1,11,19
"218",7676,1,11,19
"219",7677,1,11,19
"220",7678,1,11,19
"221",7679,1,11,19
"222",7680,1,11,19
"223",7681,1,11,19
"224",7682,1,11,19
"225",7683,1,11,19
"226",7684,1,11,19
"227",7685,1,11,19
"228",7686,1,11,19
"229",7687,1,11,19
"230",7688,1,11,19
"231",7689,1,11,19
"232",7690,1,11,19
"233",7691,1,11,19
"234",7692,1,11,19
"235",7693,1,11,19
"236",7694,1,11,19
"237",7695,1,11,19
"238",7696,1,11,19
"239",7697,1,11,19
"240",7698,1,11,19
"241",7699,1,11,19
"242",7700,1,11,19
"243",7701,1,11,19
"244",7702,1,11,19
"245",7703,1,11,19
"246",7704,1,11,19
