"","time","Target.x","Target.y","Target.z"
"266",1958,1,1,1
"267",1959,1,1,1
"268",1960,1,1,1
"269",1961,1,1,1
"270",1962,1,1,1
"271",1963,1,1,1
"272",1964,1,1,1
"273",1965,1,1,1
"274",1966,1,1,1
"275",1967,1,1,1
"276",1968,1,1,1
"277",1969,1,1,1
"278",1970,1,1,1
"279",1971,1,1,1
"280",1972,1,1,1
"281",1973,1,1,1
"282",1974,1,1,1
"283",1975,1,1,1
"284",1976,1,1,1
"285",1977,1,1,1
"286",1978,1,1,1
"287",1979,1,1,1
"288",1980,1,1,1
"289",1981,1,1,1
"290",1982,1,1,1
"291",1983,1,1,1
"292",1984,1,1,1
"293",1985,1,1,1
"294",1986,1,1,1
"295",1987,1,1,1
"296",1988,1,1,1
"297",1989,1,1,1
"298",1990,1,1,1
"299",1991,1,1,1
"300",1992,1,1,1
"301",1993,1,1,1
"302",1994,1,1,1
"303",1995,1,1,1
"304",1996,1,1,1
"305",1997,1,1,1
"306",1998,1,1,1
"307",1999,1,1,1
"308",2000,1,1,1
"309",2001,1,1,1
"310",2002,1,1,1
"311",2003,1,1,1
"312",2004,1,1,1
"313",2005,1,1,1
"314",2006,1,1,1
"315",2007,1,1,1
"316",2008,1,1,1
"317",2009,1,1,1
"318",2010,1,1,1
"319",2011,1,1,1
"320",2012,1,1,1
"321",2013,1,1,1
"322",2014,1,1,1
"323",2015,1,1,1
"324",2016,1,1,1
"325",2017,1,1,1
"326",2018,1,1,1
"327",2019,1,1,1
"328",2020,1,1,1
"329",2021,1,1,1
"330",2022,1,1,1
"331",2023,1,1,1
"332",2024,1,1,1
"333",2025,1,1,1
"334",2026,1,1,1
"335",2027,1,1,1
"336",2028,1,1,1
"337",2029,1,1,1
"338",2030,1,1,1
"339",2031,1,1,1
"340",2032,1,1,1
"341",2033,1,1,1
"342",2034,1,1,1
"343",2035,1,1,1
"344",2036,1,1,1
"345",2037,1,1,1
"346",2038,1,1,1
"347",2039,1,1,1
"348",2040,1,1,1
"349",2041,1,1,1
"350",2042,1,1,1
"351",2043,1,1,1
"352",2044,1,1,1
"353",2045,1,1,1
"354",2046,1,1,1
"355",2047,1,1,1
"356",2048,1,1,1
"357",2049,1,1,1
"358",2050,1,1,1
"359",2051,1,1,1
"360",2052,1,1,1
"361",2053,1,1,1
"362",2054,1,1,1
"363",2055,1,1,1
"364",2056,1,1,1
"365",2057,1,1,1
"366",2058,1,1,1
"367",2059,1,1,1
"368",2060,1,1,1
"369",2061,1,1,1
"370",2062,1,1,1
"371",2063,1,1,1
"372",2064,1,1,1
"373",2065,1,1,1
"374",2066,1,1,1
"375",2067,1,1,1
"376",2068,1,1,1
"377",2069,1,1,1
"378",2070,1,1,1
"379",2071,1,1,1
"380",2072,1,1,1
"381",2073,1,1,1
"382",2074,1,1,1
"383",2075,1,1,1
"384",2076,1,1,1
"385",2077,1,1,1
"386",2078,1,1,1
"387",2079,1,1,1
"388",2080,1,1,1
"389",2081,1,1,1
"390",2082,1,1,1
