,time,Target.x,Target.y,Target.z
290,16934,10,1,19
291,16935,10,1,19
292,16936,10,18,19
293,16937,10,18,19
294,16938,10,18,19
295,16939,10,18,19
296,16940,10,18,19
297,16941,10,18,19
298,16942,10,18,19
299,16943,10,18,19
300,16944,10,18,19
301,16945,10,18,19
302,16946,10,18,19
303,16947,10,18,19
304,16948,10,18,19
305,16949,10,18,19
306,16950,10,18,19
307,16951,10,18,19
308,16952,10,18,19
309,16953,10,18,19
310,16954,10,18,19
311,16955,10,18,19
312,16956,10,18,19
313,16957,10,18,19
314,16958,10,18,19
315,16959,10,18,19
316,16960,10,18,19
317,16961,10,18,19
318,16962,10,18,19
319,16963,10,18,19
320,16964,10,18,19
321,16965,10,18,19
322,16966,10,18,19
323,16967,10,18,19
324,16968,10,18,19
325,16969,10,18,19
326,16970,10,18,19
327,16971,10,18,19
328,16972,10,18,19
329,16973,10,18,19
330,16974,10,18,19
331,16975,10,18,19
332,16976,10,18,19
333,16977,10,18,19
334,16978,10,18,19
335,16979,10,18,19
336,16980,10,18,19
337,16981,10,18,19
338,16982,10,18,19
339,16983,10,18,19
340,16984,10,18,19
341,16985,10,18,19
342,16986,10,18,19
343,16987,10,18,19
344,16988,10,18,19
345,16989,10,18,19
346,16990,10,18,19
347,16991,10,18,19
348,16992,10,18,19
349,16993,10,18,19
350,16994,10,18,19
351,16995,10,18,19
352,16996,10,18,19
353,16997,10,18,19
354,16998,10,18,19
355,16999,10,18,19
356,17000,10,18,19
357,17001,10,18,19
358,17002,10,18,19
359,17003,10,18,19
360,17004,10,18,19
361,17005,10,18,19
362,17006,10,18,19
363,17007,10,18,19
364,17008,10,18,19
365,17009,10,18,19
366,17010,10,18,19
367,17011,10,18,19
368,17012,10,18,19
369,17013,10,18,19
370,17014,10,18,19
371,17015,10,18,19
372,17016,10,18,19
373,17017,10,18,19
374,17018,10,18,19
375,17019,10,18,19
376,17020,10,18,19
377,17021,10,18,19
378,17022,10,18,19
379,17023,10,18,19
380,17024,10,18,19
381,17025,10,18,19
382,17026,10,18,19
383,17027,10,18,19
384,17028,10,18,19
385,17029,10,18,19
386,17030,10,18,19
387,17031,10,18,19
388,17032,10,18,19
389,17033,10,18,19
390,17034,10,18,19
391,17035,10,18,19
392,17036,10,18,19
393,17037,10,18,19
394,17038,10,18,19
395,17039,10,18,19
396,17040,10,18,19
397,17041,10,18,19
398,17042,10,18,19
399,17043,10,18,19
400,17044,10,18,19
401,17045,10,18,19
402,17046,10,18,19
403,17047,10,18,19
404,17048,10,18,19
405,17049,10,18,19
406,17050,10,18,19
407,17051,10,18,19
408,17052,10,18,19
409,17053,10,18,19
410,17054,10,18,19
411,17055,10,18,19
412,17056,10,18,19
413,17057,10,18,19
414,17058,10,18,19
415,17059,10,18,19
416,17060,10,18,19
417,17061,10,18,19
418,17062,10,18,19
419,17063,10,18,19
420,17064,10,18,19
421,17065,10,18,19
422,17066,10,18,19
423,17067,10,18,19
424,17068,10,18,19
425,17069,10,18,19
426,17070,10,18,19
427,17071,10,18,19
428,17072,10,18,19
429,17073,10,18,19
430,17074,10,18,19
431,17075,10,18,19
432,17076,10,18,19
433,17077,10,18,19
434,17078,10,18,19
435,17079,10,18,19
436,17080,10,18,19
437,17081,10,18,19
438,17082,10,18,19
439,17083,10,18,19
440,17084,10,18,19
441,17085,10,18,19
442,17086,10,18,19
443,17087,10,18,19
444,17088,10,18,19
